,Rank
miR-18b-3p,146
miR-874-3p,147
miR-658,148
miR-454-5p,149
miR-495-3p,150
miR-605-3p,151
miR-345-5p,152
miR-944,153
miR-6500-3p,154
miR-490-5p,155
miR-378d,156
miR-769-3p,157
miR-675-3p,158
miR-1244,159
miR-1468-5p,160
miR-493-3p,161
miR-3158-5p,162
miR-20b-3p,163
miR-3607-3p,164
miR-185-5p,165
miR-361-3p,166
miR-4429,167
miR-199b-5p,168
miR-126-3p,169
miR-21-3p,170
miR-671-5p,171
miR-505-5p,172
miR-26a-5p,173
miR-224-5p,174
miR-331-5p,175
miR-223-5p,176
miR-18a-3p,177
miR-3197,178
miR-16-1-3p,179
miR-323b-3p,180
miR-4306,181
miR-876-3p,182
miR-3613-3p,183
miR-421,184
miR-337-3p,185
miR-302b-3p,186
miR-1233-3p,187
miR-503-3p,188
miR-579-3p,189
miR-4743-5p,190
miR-6726-3p,191
miR-147b,192
miR-1250-5p,193
miR-767-5p,194
miR-362-3p,195
miR-2355-5p,196
miR-6503-5p,197
miR-485-3p,198
miR-425-3p,199
miR-24-2-5p,200
miR-125a-3p,201
miR-204-3p,202
miR-1185-1-3p,203
miR-27a-3p,204
miR-656-3p,205
miR-197-3p,206
miR-29b-1-5p,207
miR-320d,208
miR-1283,209
miR-876-5p,210
miR-382-3p,211
miR-196a-3p,212
miR-365a-3p,213
miR-30b-3p,214
miR-891a-5p,215
miR-6845-5p,216
miR-556-5p,217
miR-501-3p,218
miR-500a-5p,219
miR-33a-5p,220
miR-6742-5p,221
miR-532-3p,222
miR-181b-5p,223
miR-23b-3p,224
miR-4426,225
miR-3140-3p,226
miR-877-3p,227
miR-425-5p,228
miR-3175,229
miR-6818-5p,230
miR-1225-3p,231
miR-105-5p,232
miR-106a-3p,233
miR-378f,234
miR-592,235
miR-539-3p,236
miR-598-5p,237
miR-1227-3p,238
miR-5582-5p,239
miR-6511b-3p,240
miR-4747-3p,241
miR-1908-5p,242
miR-199a-3p,243
miR-4751,244
miR-129-2-3p,245
miR-383-5p,246
miR-2116-5p,247
miR-411-3p,248
miR-214-5p,249
miR-664a-5p,250
miR-30e-5p,251
miR-4728-3p,252
miR-3913-5p,253
miR-193a-5p,254
miR-584-3p,255
miR-1185-5p,256
miR-363-5p,257
miR-362-5p,258
miR-378e,259
miR-1298-3p,260
miR-4291,261
miR-4789-3p,262
miR-320c,263
miR-379-5p,264
miR-1255b-2-3p,265
miR-1229-3p,266
miR-1287-5p,267
miR-134-3p,268
miR-494-3p,269
miR-3607-5p,270
miR-6729-3p,271
miR-132-5p,272
miR-1273g-5p,273
miR-369-5p,274
miR-1306-3p,275
miR-377-5p,276
miR-339-5p,277
miR-6744-5p,278
miR-374b-3p,279
miR-206,280
miR-5001-5p,281
miR-144-5p,282
miR-6796-3p,283
miR-433-5p,284
miR-885-3p,285
miR-2276-5p,286
miR-518b,287
miR-3147,288
miR-30c-1-3p,289
miR-340-3p,290
miR-744-5p,291
miR-3910,292
miR-378c,293
miR-516b-5p,294
miR-4737,295
miR-1234-3p,296
miR-33b-5p,297
miR-127-5p,298
miR-1287-3p,299
miR-193a-3p,300
miR-6501-3p,301
miR-4725-3p,302
miR-3652,303
miR-330-3p,304
miR-5699-5p,305
miR-324-5p,306
miR-509-3p,307
miR-492,308
miR-4769-3p,309
miR-215-5p,310
miR-6720-5p,311
miR-4783-3p,312
miR-103a-3p,313
miR-532-5p,314
miR-556-3p,315
miR-597-5p,316
miR-767-3p,317
miR-652-5p,318
miR-10b-3p,319
miR-6789-5p,320
miR-551b-3p,321
miR-299-5p,322
miR-3620-3p,323
miR-1304-3p,324
miR-6069,325
miR-181c-3p,326
miR-200c-5p,327
miR-128-1-5p,328
miR-541-5p,329
miR-4790-3p,330
miR-190a-5p,331
miR-1253,332
miR-5006-5p,333
miR-624-5p,334
miR-943,335
miR-148b-3p,336
miR-9-5p,337
miR-671-3p,338
miR-363-3p,339
miR-8085,340
miR-105-3p,341
miR-6718-5p,342
miR-154-3p,343
miR-508-3p,344
miR-1262,345
miR-1226-3p,346
miR-1254,347
miR-877-5p,348
miR-3162-5p,349
miR-4738-3p,350
miR-142-5p,351
miR-133b,352
miR-2467-3p,353
miR-376c-3p,354
miR-6072,355
miR-3940-5p,356
miR-145-3p,357
miR-937-5p,358
miR-134-5p,359
miR-181b-3p,360
miR-590-5p,361
miR-1178-5p,362
miR-376a-2-5p,363
miR-338-3p,364
miR-632,365
miR-6515-3p,366
miR-520b,367
miR-4515,368
miR-193b-5p,369
miR-181a-5p,370
miR-218-1-3p,371
miR-6847-5p,372
miR-302a-3p,373
miR-511-3p,374
miR-5193,375
miR-6776-5p,376
miR-501-5p,377
miR-320b,378
miR-1270,379
miR-129-1-3p,380
miR-934,381
miR-130a-5p,382
miR-181a-2-3p,383
miR-133a-3p,384
miR-1538,385
miR-616-3p,386
miR-548e-3p,387
miR-616-5p,388
miR-5006-3p,389
miR-506-3p,390
miR-6891-3p,391
miR-577,392
miR-548aw,393
miR-663b,394
miR-3917,395
miR-642a-5p,396
miR-6861-3p,397
miR-320a,398
miR-6892-3p,399
miR-370-5p,400
miR-199a-5p,401
miR-6820-3p,402
miR-3198,403
miR-5684,404
miR-4481,405
miR-3689b-3p,406
miR-939-5p,407
miR-382-5p,408
miR-5739,409
miR-648,410
miR-1273a,411
miR-8069,412
miR-6076,413
miR-29a-5p,414
miR-10a-3p,415
miR-1539,416
miR-6771-3p,417
miR-92a-2-5p,418
miR-133a-5p,419
miR-550a-5p,420
miR-1224-5p,421
miR-6849-3p,422
miR-6746-5p,423
miR-924,424
miR-424-5p,425
miR-8079,426
miR-3188,427
miR-3682-3p,428
miR-502-5p,429
miR-208a-3p,430
miR-1236-5p,431
miR-7107-5p,432
miR-550a-3-5p,433
miR-28-5p,434
miR-5195-5p,435
miR-585-3p,436
miR-198,437
miR-1914-5p,438
miR-7109-3p,439
miR-3907,440
miR-6747-5p,441
miR-1913,442
miR-1537-3p,443
miR-1471,444
miR-4798-3p,445
miR-1247-3p,446
miR-873-3p,447
miR-6836-5p,448
miR-6822-5p,449
miR-135b-3p,450
miR-154-5p,451
miR-6851-5p,452
miR-95-3p,453
miR-619-3p,454
miR-622,455
miR-484,456
miR-502-3p,457
miR-103a-2-5p,458
miR-3129-3p,459
miR-889-5p,460
miR-6829-5p,461
miR-1915-5p,462
miR-1304-5p,463
miR-4753-5p,464
miR-4781-5p,465
miR-1236-3p,466
miR-202-5p,467
miR-6890-5p,468
miR-1250-3p,469
miR-548s,470
miR-539-5p,471
miR-6502-5p,472
miR-1238-5p,473
miR-381-5p,474
miR-519b-3p,475
miR-542-3p,476
miR-23a-3p,477
miR-1343-5p,478
miR-5581-5p,479
miR-653-3p,480
miR-126-5p,481
miR-6804-3p,482
miR-942-3p,483
miR-6735-3p,484
miR-662,485
miR-1200,486
miR-941,487
miR-1264,488
miR-1294,489
miR-548v,490
miR-181d-3p,491
miR-511-5p,492
miR-574-3p,493
miR-6769b-3p,494
miR-1291,495
miR-1909-3p,496
miR-6787-3p,497
miR-4736,498
miR-1301-5p,499
miR-1288-3p,500
miR-6510-3p,501
miR-3142,502
miR-149-3p,503
miR-125b-5p,504
miR-6132,505
miR-1229-5p,506
miR-122-5p,507
miR-500b-5p,508
miR-1323,509
miR-1267,510
miR-6760-3p,511
miR-6807-3p,512
miR-651-5p,513
miR-6889-3p,514
miR-643,515
miR-1202,516
miR-631,517
miR-655-5p,518
miR-4779,519
miR-1271-5p,520
miR-422a,521
miR-33a-3p,522
miR-5196-5p,523
miR-5581-3p,524
miR-2682-5p,525
miR-30e-3p,526
miR-660-3p,527
miR-6075,528
miR-6837-5p,529
miR-3138,530
miR-1302,531
miR-4745-3p,532
miR-4786-5p,533
miR-6778-5p,534
miR-323b-5p,535
miR-1193,536
miR-568,537
miR-548m,538
miR-504-5p,539
miR-4756-5p,540
miR-887-5p,541
miR-1299,542
miR-486-5p,543
miR-3154,544
miR-1231,545
miR-5004-3p,546
miR-1237-3p,547
miR-520f-3p,548
miR-520g-5p,549
miR-548h-5p,550
miR-3916,551
miR-197-5p,552
miR-552-5p,553
miR-564,554
miR-6740-5p,555
miR-1273h-5p,556
miR-193b-3p,557
miR-505-3p,558
miR-6124,559
miR-1183,560
miR-4738-5p,561
miR-4722-3p,562
miR-6720-3p,563
miR-1911-5p,564
miR-136-3p,565
miR-576-5p,566
miR-6862-5p,567
miR-6824-5p,568
miR-95-5p,569
miR-668-5p,570
miR-614,571
miR-595,572
miR-1296-3p,573
miR-6133,574
miR-6774-3p,575
miR-4793-3p,576
miR-618,577
miR-548ad,578
miR-875-5p,579
miR-6840-3p,580
miR-6833-5p,581
miR-1273c,582
miR-153-5p,583
miR-6859-5p,584
miR-4773,585
miR-4417,586
miR-1257,587
miR-938,588
miR-605-5p,589
miR-4758-5p,590
miR-6736-3p,591
miR-143-5p,592
miR-7114-3p,593
miR-4719,594
miR-1305,595
miR-1178-3p,596
miR-30d-3p,597
miR-548ab,598
miR-1914-3p,599
miR-4753-3p,600
miR-329-5p,601
miR-6834-5p,602
miR-4712-5p,603
miR-6790-5p,604
miR-15a-3p,605
miR-4742-5p,606
miR-6826-5p,607
miR-1269b,608
miR-6769a-3p,609
miR-6785-3p,610
miR-575,611
miR-1269a,612
miR-3609,613
miR-6844,614
miR-3612,615
miR-5691,616
miR-4732-3p,617
miR-521,618
miR-1179,619
miR-6503-3p,620
miR-6755-5p,621
miR-6852-3p,622
miR-4790-5p,623
miR-1273d,624
miR-1252-3p,625
miR-2681-5p,626
miR-1206,627
miR-150-3p,628
miR-1587,629
miR-1184,630
miR-5088-3p,631
miR-181c-5p,632
miR-613,633
miR-6511a-5p,634
miR-509-3-5p,635
miR-6878-3p,636
miR-432-5p,637
miR-4798-5p,638
miR-3614-3p,639
miR-6728-5p,640
miR-297,641
miR-589-3p,642
miR-361-5p,643
miR-18a-5p,644
miR-1208,645
miR-208b-3p,646
miR-498,647
miR-892c-3p,648
miR-5195-3p,649
miR-517a-3p,650
miR-1263,651
miR-675-5p,652
miR-3616-3p,653
miR-3617-5p,654
miR-491-3p,655
miR-6513-5p,656
miR-7974,657
miR-1182,658
miR-4781-3p,659
miR-6775-5p,660
miR-6514-5p,661
miR-4752,662
miR-3064-5p,663
miR-1238-3p,664
miR-1207-3p,665
miR-6881-5p,666
miR-1205,667
miR-1275,668
miR-1207-5p,669
miR-1909-5p,670
miR-504-3p,671
miR-573,672
miR-1468-3p,673
miR-4513,674
miR-936,675
miR-6734-5p,676
miR-323a-3p,677
miR-6737-5p,678
miR-1295b-3p,679
miR-1199-3p,680
miR-181d-5p,681
miR-500b-3p,682
miR-6772-5p,683
miR-489-5p,684
miR-5009-5p,685
miR-6715b-3p,686
miR-6884-3p,687
miR-1307-3p,688
miR-4802-3p,689
miR-548ba,690
miR-1272,691
miR-4761-5p,692
miR-5579-5p,693
miR-6825-5p,694
miR-4721,695
miR-6722-5p,696
miR-496,697
miR-1204,698
miR-3064-3p,699
miR-513c-5p,700
miR-6754-3p,701
miR-6853-3p,702
miR-889-3p,703
miR-646,704
miR-1292-5p,705
miR-5572,706
miR-26b-3p,707
miR-920,708
miR-7153-5p,709
miR-3177-3p,710
miR-6883-5p,711
miR-5188,712
miR-6739-3p,713
miR-6508-5p,714
miR-548g-3p,715
miR-4765,716
miR-376b-3p,717
miR-548ae,718
miR-6773-3p,719
miR-1261,720
miR-3115,721
miR-6852-5p,722
miR-6730-5p,723
miR-188-5p,724
miR-6717-5p,725
miR-1276,726
miR-5189-5p,727
miR-6780a-5p,728
miR-4782-5p,729
miR-4713-3p,730
miR-5687,731
miR-3116,732
miR-4786-3p,733
miR-6821-3p,734
miR-5707,735
miR-4768-5p,736
miR-5584-3p,737
miR-664b-5p,738
miR-6813-3p,739
miR-3619-5p,740
miR-514a-3p,741
miR-203b-5p,742
miR-196b-3p,743
miR-219b-3p,744
miR-548an,745
miR-3184-3p,746
miR-19b-2-5p,747
miR-6811-3p,748
miR-372-3p,749
miR-192-3p,750
miR-766-3p,751
miR-130a-3p,752
miR-3155b,753
miR-3189-5p,754
miR-1252-5p,755
miR-302b-5p,756
miR-144-3p,757
miR-3157-3p,758
miR-1293,759
miR-551b-5p,760
miR-215-3p,761
miR-6127,762
miR-1243,763
miR-4788,764
miR-6875-5p,765
miR-6887-5p,766
miR-3691-3p,767
miR-369-3p,768
miR-548e-5p,769
miR-6082,770
miR-1910-3p,771
miR-181a-3p,772
miR-5697,773
miR-670-5p,774
miR-6747-3p,775
miR-6789-3p,776
miR-431-3p,777
miR-645,778
miR-3186-5p,779
miR-5007-5p,780
miR-545-3p,781
miR-623,782
miR-7156-5p,783
miR-6870-3p,784
miR-6802-3p,785
miR-4759,786
miR-6792-3p,787
miR-6165,788
miR-4725-5p,789
miR-188-3p,790
miR-890,791
miR-411-5p,792
miR-1297,793
miR-1273e,794
miR-6514-3p,795
miR-4794,796
miR-7845-5p,797
miR-6507-5p,798
miR-5008-5p,799
miR-7113-5p,800
miR-3662,801
miR-3176,802
miR-6874-3p,803
miR-3934-3p,804
miR-3157-5p,805
miR-3191-3p,806
miR-6768-5p,807
miR-1910-5p,808
miR-4724-3p,809
miR-3124-5p,810
miR-548al,811
miR-7844-5p,812
miR-584-5p,813
miR-3646,814
miR-6856-5p,815
miR-6863,816
miR-933,817
miR-516a-3p,818
miR-186-3p,819
miR-550b-2-5p,820
miR-6744-3p,821
miR-711,822
miR-515-5p,823
miR-6813-5p,824
miR-155-5p,825
miR-6846-5p,826
miR-4772-5p,827
miR-6814-5p,828
miR-342-3p,829
miR-6831-5p,830
miR-6088,831
miR-1321,832
miR-6761-5p,833
miR-4730,834
miR-1282,835
miR-7852-3p,836
miR-4774-5p,837
miR-1245b-3p,838
miR-381-3p,839
miR-3135a,840
miR-4720-3p,841
miR-4766-3p,842
miR-1289,843
miR-627-3p,844
miR-4789-5p,845
miR-6751-3p,846
miR-379-3p,847
miR-4707-3p,848
miR-520c-3p,849
miR-6716-3p,850
miR-5588-5p,851
miR-1256,852
miR-302d-3p,853
miR-6805-5p,854
miR-1258,855
miR-4731-3p,856
miR-7152-5p,857
miR-891a-3p,858
miR-572,859
miR-892c-5p,860
miR-6810-5p,861
miR-4796-5p,862
miR-298,863
miR-4709-5p,864
miR-6843-3p,865
miR-6832-3p,866
miR-6877-5p,867
miR-21-5p,868
miR-6803-5p,869
miR-2355-3p,870
miR-3126-3p,871
miR-383-3p,872
miR-6784-5p,873
miR-610,874
miR-644a,875
miR-147a,876
miR-7155-5p,877
miR-4744,878
miR-6839-5p,879
miR-5003-5p,880
miR-6073,881
miR-1303,882
miR-1911-3p,883
miR-1324,884
miR-374c-5p,885
miR-3130-3p,886
miR-6728-3p,887
miR-4780,888
miR-8071,889
miR-6792-5p,890
miR-6726-5p,891
miR-3912-5p,892
miR-1285-5p,893
miR-300,894
miR-608,895
miR-6776-3p,896
miR-3650,897
miR-6769a-5p,898
miR-4706,899
miR-2467-5p,900
miR-520d-3p,901
miR-6856-3p,902
miR-6816-3p,903
miR-6741-5p,904
miR-3663-5p,905
miR-4777-5p,906
miR-7843-5p,907
miR-6735-5p,908
miR-892a,909
miR-3919,910
miR-3618,911
miR-3122,912
miR-508-5p,913
miR-555,914
miR-2278,915
miR-6817-5p,916
miR-2276-3p,917
miR-373-3p,918
miR-6848-5p,919
miR-4804-5p,920
miR-548l,921
miR-3929,922
miR-3152-5p,923
miR-7108-5p,924
miR-3679-5p,925
miR-6778-3p,926
miR-615-3p,927
miR-4727-5p,928
miR-6886-5p,929
miR-5689,930
miR-3935,931
miR-3938,932
miR-642b-5p,933
miR-525-5p,934
miR-6761-3p,935
miR-5009-3p,936
miR-194-3p,937
miR-3674,938
miR-5004-5p,939
miR-6828-3p,940
miR-7157-5p,941
miR-4771,942
miR-6801-5p,943
miR-1249,944
miR-6757-5p,945
miR-128-2-5p,946
miR-202-3p,947
miR-6505-5p,948
miR-3660,949
miR-5003-3p,950
miR-6874-5p,951
miR-6758-3p,952
miR-576-3p,953
miR-6767-3p,954
miR-146a-3p,955
miR-5589-5p,956
miR-3690,957
miR-6731-3p,958
miR-6838-3p,959
miR-7848-3p,960
miR-4718,961
miR-5094,962
miR-3171,963
miR-6733-3p,964
miR-1277-5p,965
miR-517-5p,966
miR-6753-3p,967
miR-4748,968
miR-302f,969
miR-6775-3p,970
miR-96-3p,971
miR-190a-3p,972
miR-6869-5p,973
miR-5700,974
miR-6817-3p,975
miR-6846-3p,976
miR-4253,977
miR-302c-3p,978
miR-621,979
miR-8055,980
miR-2392,981
miR-5007-3p,982
miR-3127-5p,983
miR-6810-3p,984
miR-6892-5p,985
miR-510-3p,986
miR-187-5p,987
miR-6841-3p,988
miR-2909,989
miR-378g,990
miR-5088-5p,991
miR-4714-5p,992
miR-367-3p,993
miR-2114-5p,994
miR-510-5p,995
miR-377-3p,996
miR-4742-3p,997
miR-3680-3p,998
miR-593-5p,999
miR-6499-5p,1000
miR-6791-5p,1001
miR-4722-5p,1002
miR-598-3p,1003
miR-3936,1004
miR-204-5p,1005
miR-8070,1006
miR-3659,1007
miR-1278,1008
miR-597-3p,1009
miR-6770-5p,1010
miR-6772-3p,1011
miR-633,1012
miR-3125,1013
miR-6868-3p,1014
miR-554,1015
miR-3145-5p,1016
miR-2053,1017
miR-6754-5p,1018
miR-1322,1019
miR-3124-3p,1020
miR-3671,1021
miR-1298-5p,1022
miR-657,1023
miR-3170,1024
miR-6802-5p,1025
miR-4277,1026
miR-4256,1027
miR-8078,1028
miR-3689a-3p,1029
miR-6760-5p,1030
miR-4264,1031
miR-8087,1032
miR-6825-3p,1033
miR-6750-3p,1034
miR-3605-5p,1035
miR-376b-5p,1036
miR-552-3p,1037
miR-921,1038
miR-5585-3p,1039
miR-4731-5p,1040
miR-3164,1041
miR-6797-3p,1042
miR-5586-3p,1043
miR-6750-5p,1044
miR-4296,1045
miR-3156-5p,1046
miR-545-5p,1047
miR-5580-3p,1048
miR-6770-3p,1049
miR-6881-3p,1050
miR-4309,1051
miR-1265,1052
miR-6748-3p,1053
miR-6827-3p,1054
miR-6857-5p,1055
miR-6895-5p,1056
miR-586,1057
miR-26a-2-3p,1058
miR-5187-5p,1059
miR-4322,1060
miR-335-5p,1061
miR-513b-5p,1062
miR-7846-3p,1063
miR-6797-5p,1064
miR-4760-3p,1065
miR-6080,1066
miR-3146,1067
miR-548ao-5p,1068
miR-6716-5p,1069
miR-4326,1070
miR-506-5p,1071
miR-7161-5p,1072
miR-6738-3p,1073
miR-3689a-5p,1074
miR-761,1075
miR-4723-3p,1076
miR-6071,1077
miR-6081,1078
miR-5582-3p,1079
miR-6129,1080
miR-182-3p,1081
miR-3136-5p,1082
miR-3193,1083
miR-3655,1084
miR-891b,1085
miR-6134,1086
miR-370-3p,1087
miR-4793-5p,1088
miR-617,1089
miR-6868-5p,1090
miR-3119,1091
miR-4419a,1092
miR-5589-3p,1093
miR-583,1094
miR-4421,1095
miR-8063,1096
miR-4764-5p,1097
miR-4774-3p,1098
miR-6872-3p,1099
miR-548d-5p,1100
miR-4729,1101
miR-5682,1102
miR-4320,1103
miR-7156-3p,1104
miR-888-5p,1105
miR-4726-5p,1106
miR-4723-5p,1107
miR-3131,1108
miR-4419b,1109
miR-3922-5p,1110
miR-3611,1111
miR-6862-3p,1112
miR-6740-3p,1113
miR-4439,1114
miR-600,1115
miR-4478,1116
miR-1912,1117
miR-4784,1118
miR-7106-5p,1119
miR-3617-3p,1120
miR-561-3p,1121
miR-3928-3p,1122
miR-3939,1123
miR-3616-5p,1124
miR-548as-3p,1125
miR-4463,1126
miR-4446-3p,1127
miR-4436b-3p,1128
miR-3681-5p,1129
miR-5087,1130
miR-3145-3p,1131
miR-5706,1132
miR-4444,1133
miR-548ay-5p,1134
miR-324-3p,1135
miR-7154-5p,1136
miR-8058,1137
miR-4449,1138
miR-4999-5p,1139
miR-548j-3p,1140
miR-4451,1141
miR-6755-3p,1142
miR-4458,1143
miR-515-3p,1144
miR-6867-5p,1145
miR-218-2-3p,1146
miR-548t-5p,1147
miR-6779-3p,1148
miR-637,1149
miR-6131,1150
miR-296-5p,1151
miR-3606-5p,1152
miR-191-3p,1153
miR-519c-3p,1154
miR-380-3p,1155
miR-29b-2-5p,1156
miR-5693,1157
miR-4473,1158
miR-4453,1159
miR-1279,1160
miR-6842-5p,1161
miR-3165,1162
miR-4273,1163
miR-6849-5p,1164
miR-4459,1165
miR-4707-5p,1166
miR-549a,1167
miR-3678-3p,1168
miR-548av-5p,1169
miR-4470,1170
miR-6830-5p,1171
miR-5690,1172
miR-6515-5p,1173
miR-3192-5p,1174
miR-3714,1175
miR-6086,1176
miR-518c-3p,1177
miR-630,1178
miR-892b,1179
miR-3908,1180
miR-6511a-3p,1181
miR-302c-5p,1182
miR-628-5p,1183
miR-5583-5p,1184
miR-2052,1185
miR-4305,1186
miR-3679-3p,1187
miR-3944-5p,1188
miR-7158-3p,1189
miR-208a-5p,1190
miR-7157-3p,1191
miR-2115-3p,1192
miR-6830-3p,1193
miR-5692b,1194
miR-5692c,1195
miR-4294,1196
miR-4477a,1197
miR-543,1198
miR-4743-3p,1199
miR-6833-3p,1200
miR-4778-3p,1201
miR-6780b-3p,1202
miR-4487,1203
miR-6756-5p,1204
miR-6739-5p,1205
miR-4728-5p,1206
miR-4312,1207
miR-6872-5p,1208
miR-3657,1209
miR-922,1210
miR-4733-3p,1211
miR-6847-3p,1212
miR-7151-5p,1213
miR-5002-5p,1214
miR-3675-3p,1215
miR-3613-5p,1216
miR-32-3p,1217
miR-6864-5p,1218
miR-6795-3p,1219
miR-744-3p,1220
miR-661,1221
miR-519e-5p,1222
miR-4329,1223
miR-384,1224
miR-409-5p,1225
miR-3169,1226
miR-3680-5p,1227
miR-409-3p,1228
miR-302a-5p,1229
miR-4437,1230
miR-3677-5p,1231
miR-3977,1232
miR-3978,1233
miR-6796-5p,1234
miR-5091,1235
miR-4489,1236
miR-3133,1237
miR-4799-5p,1238
miR-7160-3p,1239
miR-937-3p,1240
miR-6880-5p,1241
miR-3199,1242
miR-16-5p,1243
miR-3150b-5p,1244
miR-513b-3p,1245
miR-557,1246
miR-520e,1247
miR-2114-3p,1248
miR-3649,1249
miR-6509-5p,1250
miR-3141,1251
miR-5190,1252
miR-7112-3p,1253
miR-6745,1254
miR-223-3p,1255
miR-6787-5p,1256
miR-3683,1257
miR-4303,1258
miR-6841-5p,1259
miR-8076,1260
miR-4770,1261
miR-4280,1262
miR-7850-5p,1263
miR-3670,1264
miR-6786-3p,1265
miR-4279,1266
miR-345-3p,1267
miR-6733-5p,1268
miR-3117-5p,1269
miR-4307,1270
miR-4496,1271
miR-6877-3p,1272
miR-548b-3p,1273
miR-499b-3p,1274
miR-5089-3p,1275
